25 128 475 421 (123, 59, 252)
267 352 457 544 (253, 207, 171)
310 525 561 669 (30, 226, 212)
455 575 457 608 (90, 168, 96)
456 596 745 686 (3, 31, 126)
722 678 764 813 (222, 231, 253)
740 807 822 811 (229, 126, 117)
802 810 808 815 (253, 43, 232)
807 813 826 829 (26, 185, 175)
812 825 820 845 (30, 142, 86)
814 828 821 832 (90, 54, 246)
819 830 831 845 (89, 124, 124)
821 831 838 847 (194, 13, 210)
834 844 847 855 (72, 49, 110)
846 852 869 864 (167, 213, 201)
853 854 867 869 (84, 55, 197)
863 866 879 876 (3, 89, 213)
867 869 869 884 (224, 192, 180)
869 877 874 889 (123, 128, 20)
871 888 883 894 (233, 40, 239)
875 891 893 895 (37, 31, 110)
878 894 889 901 (0, 47, 139)
884 896 897 905 (125, 56, 85)
897 904 901 909 (38, 247, 147)
898 908 915 911 (172, 141, 198)
908 909 922 915 (189, 85, 145)
910 910 917 916 (233, 129, 251)
917 911 919 926 (190, 178, 252)
918 914 925 917 (17, 169, 28)
919 916 927 943 (63, 201, 73)
922 919 928 941 (74, 243, 110)
923 927 939 949 (214, 158, 10)
928 940 942 956 (58, 21, 135)
937 954 946 956 (1, 166, 75)
943 955 944 962 (93, 88, 125)
944 961 962 971 (216, 173, 167)
954 965 965 972 (131, 144, 193)
955 967 975 979 (171, 140, 85)
961 973 967 981 (183, 35, 152)
965 976 972 978 (111, 49, 91)
