52 25 119 970 (104, 213, 214)
87 45 919 87 (79, 144, 97)
155 59 213 996 (226, 62, 234)
191 151 964 211 (58, 123, 220)
254 169 296 889 (97, 157, 64)
271 265 937 299 (80, 160, 135)
327 273 386 974 (250, 101, 143)
338 290 932 320 (82, 186, 103)
394 306 464 951 (219, 148, 229)
402 361 937 373 (107, 182, 238)
417 367 430 949 (112, 177, 159)
425 378 991 419 (220, 219, 187)
432 392 475 963 (176, 147, 238)
458 407 951 429 (221, 132, 63)
494 428 539 996 (238, 147, 167)
516 464 955 513 (127, 118, 117)
550 473 594 968 (190, 129, 192)
553 489 987 510 (136, 198, 229)
560 491 602 963 (52, 243, 249)
569 514 988 528 (230, 132, 101)
571 524 587 967 (206, 173, 164)
586 536 976 541 (194, 91, 250)
608 538 639 988 (65, 229, 179)
612 557 970 574 (204, 62, 74)
643 567 645 985 (112, 218, 125)
644 582 968 589 (149, 219, 198)
676 586 702 994 (241, 114, 142)
687 617 992 634 (121, 89, 200)
695 621 711 976 (190, 187, 85)
697 642 985 666 (110, 83, 186)
718 654 746 978 (98, 192, 219)
736 667 978 671 (231, 181, 145)
745 668 755 999 (210, 168, 222)
749 673 986 690 (173, 57, 163)
757 684 767 975 (210, 210, 191)
764 697 986 700 (110, 64, 86)
775 699 791 983 (171, 227, 241)
788 709 984 728 (55, 168, 203)
790 723 810 999 (153, 78, 234)
799 729 984 748 (74, 250, 136)
802 735 819 994 (58, 68, 107)
816 746 980 756 (178, 164, 120)
835 752 843 998 (199, 147, 191)
839 770 990 776 (52, 148, 110)
842 773 843 996 (103, 146, 121)
